GSM679847_9A.CEL	GSM679848_13A.CEL	GSM679849_17A.CEL	GSM679850_10B.CEL	GSM679851_10A.CEL	GSM679852_14A.CEL	GSM679853_18A.CEL	symbols
1007_s_at	9.33643184873548	9.04462430602495	9.20258631822201	9.40516564940065	9.5497134931358	9.35172277837596	9.36021894844165	DDR1
1053_at	9.59726879124161	9.7416471313885	9.73886261895113	9.68293406833929	8.99057656389053	9.36212712577794	9.31004083882706	RFC2
117_at	3.54347918278885	3.64325341529624	3.72548560301665	3.59880913479885	3.61897191595077	3.38140457951138	3.59454845760341	HSPA6
121_at	7.57384056690077	7.36813765816464	7.47699792876377	7.55851110856653	8.00760134948601	7.53639577118948	7.65838023034765	PAX8
1255_g_at	2.64741343047189	2.69420487547767	2.75617762085235	2.74459908436954	2.69134370215813	2.5061718865251	2.74967612638482	GUCA1A
1294_at	4.67596243943447	4.53823370402248	4.5315464945612	4.67755139178142	4.74401894333704	4.67330671777148	4.72487416199425	UBA7
1316_at	4.49717106079829	4.31970039944999	4.53968981217555	4.61417169986891	4.55715855700915	4.5386303470627	4.61702372596595	THRA
1320_at	4.54668453582556	5.19023056890578	5.06812011062976	5.03401998085009	4.7404523704829	4.98632294276684	4.78813617075864	PTPN21
1405_i_at	2.77974783056634	2.77974783056634	2.6959908925536	2.77974783056634	2.77974783056634	2.85949918549636	2.77974783056634	CCL5
1431_at	2.95780525626246	2.87180409793746	2.95780525626246	2.95780525626246	3.17386512718022	2.84661089377238	2.95780525626246	CYP2E1
1438_at	5.56725571307471	5.80025245273277	5.82961502566315	5.71080884491473	5.62932572444463	5.8790209875852	5.80873708207361	EPHB3
1487_at	7.32096878092247	7.39216113625981	7.32372102075218	7.57065709441695	7.11404847618052	7.13471616011384	7.13714541078084	ESRRA
1494_f_at	5.51713250626721	5.36827730214797	5.43844045450217	5.5525675099361	5.47753460304605	5.33436783751457	5.47753460304605	CYP2A6
1598_g_at	6.47704381406905	6.21776335222144	6.39172192261328	6.39039997228463	6.34109360639513	6.23896762408364	6.4143556625423	GAS6
160020_at	5.7662716667745	5.46909276396422	5.67470307836811	5.75691061496112	5.7772592424607	5.73741223907627	5.79910023527084	MMP14
1729_at	6.59775263815549	6.306434788957	6.38755395988044	6.76950023956623	6.84073683142268	6.46310640145698	6.58649689584138	TRADD
177_at	4.60673728102641	4.89696653704263	4.83432385752456	4.60252706790756	5.36101822038385	5.77341321216759	5.50248712501945	PLD1
1773_at	6.8035501656744	6.68057846031677	6.65923686115531	6.69804575174411	6.62696660097455	6.5259672732865	6.36006094253716	NULL
179_at	7.65905684627631	7.54537185890724	7.76689448371132	7.9162684224202	7.7420660468877	7.55610707245744	7.90082817436761	DTX2P1-UPK3BP1-PMS2P11
1861_at	7.27977040371031	7.31780883059929	7.31219934907353	7.46616098979678	7.3108554592928	7.3274633192265	7.2704058510397	BAD
200000_s_at	10.572815103917	10.557733678176	10.5463224673903	10.4658491530062	10.6200951378023	10.5745127755584	10.6256245187899	PRPF8
200001_at	10.853404128137	10.8123319217768	10.7996976299893	11.0153269336022	11.2709846248763	11.0339057844712	11.0493545160394	CAPNS1
200002_at	12.6946219755272	12.834889986328	12.7593287307857	12.7291769720479	12.7162636618809	12.7104273622454	12.6950516515892	RPL35
200003_s_at	13.2627982104026	13.2851879350468	13.2660193841007	13.250943299395	13.3102740722871	13.2454984950079	13.2885128312877	RPL28
200004_at	12.1686251984008	12.1811011721343	12.2213080581229	12.1730151144222	11.8033152077672	12.010311892973	12.0196931322819	EIF4G2
200005_at	10.9028102742557	10.9927193513575	10.9374484680844	11.0953927589705	10.8102701440897	10.8803322913505	10.8343635819385	EIF3D
200006_at	12.1653937692197	12.159867253796	12.1891339670315	12.1423136108185	12.2504087991336	12.2546543122856	12.1891339670315	PARK7
200007_at	12.0248601014073	11.9793070084696	11.9286563309371	12.0172483170084	12.056506106525	11.9541250239909	11.9915715993903	SRP14
200008_s_at	10.3818465343126	10.3380755894391	10.3142322211372	10.717963873186	10.409263357446	10.2776532022212	10.287952603714	GDI2
200009_at	12.2716727923092	12.2791656761994	12.2729891104865	12.3561843598571	12.2729891104865	12.2866775191395	12.2115993154805	GDI2
200010_at	12.0301865430102	12.0294276899566	11.9975673179657	12.1082140113783	12.0544761388748	11.9497294460434	12.0135897069939	RPL11
200011_s_at	9.46866267190187	9.42191925508867	9.46866267190187	9.55588749234136	9.65459740021891	9.47255940078045	9.45141974363421	ARF3
200012_x_at	12.9535649945631	13.0256614324293	12.996187117724	13.0257134881525	13.0202685678364	12.9825823596394	12.9212525028594	NULL
200013_at	12.8252384624329	12.8468976168335	12.861461068196	12.8983044818517	12.8252384624329	12.785888780636	12.7827740359591	RPL24
200014_s_at	10.9143120227861	11.0189653936011	11.0654016063718	10.8679281176692	10.9292273744395	11.053440661601	11.0096817809617	HNRNPC
200015_s_at	11.5567693982206	11.5676093837924	11.5000505722831	11.5089866455492	11.4898768789786	11.5089866455492	11.4810440526106	SEPTIN2
200016_x_at	13.0484831990584	13.0438043489854	13.0016494833309	13.0516908175257	13.0628677781118	13.042392883221	13.0766836466409	HNRNPA1
200017_at	12.612278159169	12.6206403736075	12.6481037181463	12.6572638321453	12.643080143874	12.5758359761209	12.6277570723786	RPS27A
200018_at	12.7133906251675	12.7821434106184	12.7323748712187	12.8285191339289	12.7536576871325	12.6979434909812	12.6905117358934	RPS13
200019_s_at	12.0804486631096	12.1674304316284	12.114210619617	12.2192063066019	12.1489463093485	12.0994895969589	12.1014806179871	FAU
200020_at	10.7344468023326	10.8293658602497	10.7684565892161	10.7473535622877	10.2462565592727	10.4724888098012	10.5088586277092	TARDBP
200021_at	12.3496088366364	12.5204187807425	12.4134115824152	12.5339154018661	12.3496088366364	12.3162748741488	12.3613659074931	CFL1
200022_at	13.0756784765399	13.0909237167285	13.1122481304747	13.1133951411904	13.0636134777095	13.0587853766757	13.0531069303808	RPL18
200023_s_at	10.7770547163831	10.9421012917745	10.9035981604725	10.8564844448153	11.0325338552815	10.9974667145118	10.9632749862799	EIF3F
200024_at	13.1802593222595	13.1646566625697	13.1697715362818	13.2475217182476	13.1933364039461	13.1411921196945	13.151979233898	RPS5
200025_s_at	12.8330552269838	12.9335151874582	12.9658834391504	12.9037836584805	12.9037836584805	12.9037836584805	12.9001817246434	RPL27
200026_at	13.1288934251127	13.198824050425	13.1569229313929	13.1346314562008	13.1346314562008	13.1346314562008	13.0775274404737	RPL34
200027_at	10.9209215833952	11.1188470513371	11.0723302211914	10.817610832166	10.765061417467	10.916742377654	10.8892491800636	NARS1
200028_s_at	10.8812067282605	10.9527835566583	10.8980619284888	10.9269777278963	10.5287693638619	10.7107733544791	10.660601522101	STARD7
200029_at	12.4517023150649	12.5873038091202	12.546792980168	12.6415235226447	12.5305586871919	12.5193419795214	12.4905887935428	RPL19
200030_s_at	12.8883042682654	12.9259298082065	12.9133499800245	13.0192256393026	12.9517159293015	12.9506304305202	12.9391947978127	SLC25A3
